            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2446796.500000000, A.D. 1987-Jan-01 00:00:00.0000, -2.666237151298454E+07,  1.455620876488673E+08,  4.046394598111510E+03, -2.981796039575225E+01, -5.408709163457472E+00, -1.667310993738180E-04,
2447161.500000000, A.D. 1988-Jan-01 00:00:00.0000, -2.599633472917880E+07,  1.452959758941506E+08,  5.508804642006755E+03, -2.981182842779797E+01, -5.273509431404987E+00, -6.550883214908598E-04,
2447527.500000000, A.D. 1989-Jan-01 00:00:00.0000, -2.771849999687228E+07,  1.446734135063898E+08,  4.039009505711496E+03, -2.975136965789145E+01, -5.640573589712260E+00,  3.973485182315883E-04,
2447892.500000000, A.D. 1990-Jan-01 00:00:00.0000, -2.677205835816003E+07,  1.447001321530803E+08, -9.013972341343760E+02, -2.977727541072503E+01, -5.521956671493925E+00, -1.528240167464112E-03,
2448257.500000000, A.D. 1991-Jan-01 00:00:00.0000, -2.583059950778974E+07,  1.449054147876233E+08, -5.939300849072635E+03, -2.978394243234147E+01, -5.369777889970416E+00,  8.665099299525192E-04,
2448622.500000000, A.D. 1992-Jan-01 00:00:00.0000, -2.501219485805725E+07,  1.452607483758041E+08, -8.862279315359890E+03, -2.983504343931608E+01, -5.229366622904705E+00, -9.161053338708758E-04,
2448988.500000000, A.D. 1993-Jan-01 00:00:00.0000, -2.693257786117030E+07,  1.452067622671991E+08, -9.340276221670210E+03, -2.975810119392334E+01, -5.634446089087578E+00,  3.452245575235047E-04,
2449353.500000000, A.D. 1994-Jan-01 00:00:00.0000, -2.644069708318792E+07,  1.456071380123490E+08, -4.822701920308173E+03, -2.978144727970119E+01, -5.482268599783851E+00,  3.683611308713530E-04,
2449718.500000000, A.D. 1995-Jan-01 00:00:00.0000, -2.609673919128544E+07,  1.459009176991571E+08,  1.829883039802313E+03, -2.983209681175753E+01, -5.364280728797462E+00, -5.732936856717163E-04,
2450083.500000000, A.D. 1996-Jan-01 00:00:00.0000, -2.582715266949825E+07,  1.460108490938725E+08,  1.235246640378982E+04, -2.983641344025699E+01, -5.243333909034063E+00,  1.204229443798832E-03,
2450449.500000000, A.D. 1997-Jan-01 00:00:00.0000, -2.811914754997918E+07,  1.454676493607863E+08,  2.250146848068386E+04, -2.977222173533460E+01, -5.617220988651560E+00, -8.341263106670382E-04,
2450814.500000000, A.D. 1998-Jan-01 00:00:00.0000, -2.772298924285709E+07,  1.452192119967922E+08,  3.027798669454455E+04, -2.980039706403488E+01, -5.507155482565541E+00,  1.092184788581196E-03,
2451179.500000000, A.D. 1999-Jan-01 00:00:00.0000, -2.711444538328264E+07,  1.448524734902653E+08,  3.393685671290755E+04, -2.979379442076271E+01, -5.367403182606365E+00, -5.805878884606042E-04,
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000, -2.627892928682480E+07,  1.445102393586391E+08,  3.022818135935813E+04, -2.983052803283506E+01, -5.220465685407924E+00, -1.014621798034465E-04,
2451910.500000000, A.D. 2001-Jan-01 00:00:00.0000, -2.782588516572298E+07,  1.438414801340805E+08,  2.323875108210742E+04, -2.975122533379769E+01, -5.622821482816653E+00,  1.663775153062375E-04,
2452275.500000000, A.D. 2002-Jan-01 00:00:00.0000, -2.669700371030538E+07,  1.438622651928659E+08,  1.118291446068138E+04, -2.976148165461765E+01, -5.463900860129520E+00, -1.327193108505709E-03,
2452640.500000000, A.D. 2003-Jan-01 00:00:00.0000, -2.560427404310461E+07,  1.441080692776806E+08, -4.740543971359730E+02, -2.981205243007596E+01, -5.328580374037860E+00,  8.440960590614388E-04,
2453005.500000000, A.D. 2004-Jan-01 00:00:00.0000, -2.463738378708507E+07,  1.445097509100143E+08, -1.029717506253719E+04, -2.982311691379540E+01, -5.203756179558665E+00, -1.182553839266465E-03,
2453371.500000000, A.D. 2005-Jan-01 00:00:00.0000, -2.642492761842680E+07,  1.445429671082292E+08, -1.743671771754324E+04, -2.975991315899516E+01, -5.569183293000138E+00,  6.521789811833045E-04,
2453736.500000000, A.D. 2006-Jan-01 00:00:00.0000, -2.583166160153091E+07,  1.450468483872995E+08, -1.911294905148447E+04, -2.980629271150611E+01, -5.453023332743840E+00, -2.152912247639360E-04,
2454101.500000000, A.D. 2007-Jan-01 00:00:00.0000, -2.539384436954823E+07,  1.454416507367112E+08, -1.824337351810187E+04, -2.981168915758796E+01, -5.323478224805572E+00, -1.341923031317194E-05,
2454466.500000000, A.D. 2008-Jan-01 00:00:00.0000, -2.505963497388356E+07,  1.456846116700474E+08, -1.291084023366868E+04, -2.985286382124296E+01, -5.179702565851746E+00,  1.077223050433895E-03,
2454832.500000000, A.D. 2009-Jan-01 00:00:00.0000, -2.731487694066798E+07,  1.452770646917234E+08, -7.183084871284664E+03, -2.978415669388899E+01, -5.594146663221609E+00, -6.422796766507588E-04,
2455197.500000000, A.D. 2010-Jan-01 00:00:00.0000, -2.689245210784379E+07,  1.451618583042867E+08, -2.608728054337204E+03, -2.978405751621623E+01, -5.451137243323289E+00,  1.551580077431058E-03,
2455562.500000000, A.D. 2011-Jan-01 00:00:00.0000, -2.629469125532128E+07,  1.449571070203542E+08, -1.206401856265962E+03, -2.982509098122611E+01, -5.315222063342504E+00, -7.368296108669625E-04,
2455927.500000000, A.D. 2012-Jan-01 00:00:00.0000, -2.550064577614577E+07,  1.447622481707392E+08, -4.697270255587995E+03, -2.983135936869825E+01, -5.196144956457491E+00,  4.547790560012199E-04,
