            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2447161.500000000, A.D. 1988-Jan-01 00:00:00.0000, -1.400966195482911E+08, -2.634991720013274E+09, -1.152068760933093E+09,  6.750508282472379E+00, -5.591467720644540E-01, -3.403780569587512E-01,
2447527.500000000, A.D. 1989-Jan-01 00:00:00.0000,  7.356978250443150E+07, -2.645350420856339E+09, -1.159629605869803E+09,  6.756487129314147E+00, -9.650084992758343E-02, -1.376382951236694E-01,
2447892.500000000, A.D. 1990-Jan-01 00:00:00.0000,  2.862530065240766E+08, -2.641168601547282E+09, -1.160807703137896E+09,  6.725449892541461E+00,  3.607730847168593E-01,  6.296143855973722E-02,
2448257.500000000, A.D. 1991-Jan-01 00:00:00.0000,  4.973895456671088E+08, -2.622665159490595E+09, -1.155691084028936E+09,  6.658567786094177E+00,  8.114668766892648E-01,  2.610949656693768E-01,
2448622.500000000, A.D. 1992-Jan-01 00:00:00.0000,  7.058632634035604E+08, -2.590083675892401E+09, -1.144370777420789E+09,  6.556894582885702E+00,  1.253298003363273E+00,  4.559027437592911E-01,
2448988.500000000, A.D. 1993-Jan-01 00:00:00.0000,  9.111475873504988E+08, -2.543590429853122E+09, -1.126912283282825E+09,  6.420854135117419E+00,  1.685391214541731E+00,  6.470564861173230E-01,
2449353.500000000, A.D. 1994-Jan-01 00:00:00.0000,  1.111075575050270E+09, -2.483815747915582E+09, -1.103561005160745E+09,  6.252921302402306E+00,  2.103397356988027E+00,  8.324463557419102E-01,
2449718.500000000, A.D. 1995-Jan-01 00:00:00.0000,  1.305212707490469E+09, -2.411085422920847E+09, -1.074453505942851E+09,  6.054009594978180E+00,  2.506707367159401E+00,  1.011990318537665E+00,
2450083.500000000, A.D. 1996-Jan-01 00:00:00.0000,  1.492602597750875E+09, -2.325887447580876E+09, -1.039789969174751E+09,  5.825472132636999E+00,  2.893724463608716E+00,  1.184907608065634E+00,
2450449.500000000, A.D. 1997-Jan-01 00:00:00.0000,  1.672817842093319E+09, -2.228477300016326E+09, -9.996762277028893E+08,  5.568123559210266E+00,  3.263996541846636E+00,  1.350706378142181E+00,
2450814.500000000, A.D. 1998-Jan-01 00:00:00.0000,  1.844014982236202E+09, -2.119972777339982E+09, -9.545757809432673E+08,  5.285248639171003E+00,  3.613928814279298E+00,  1.508060125591892E+00,
2451179.500000000, A.D. 1999-Jan-01 00:00:00.0000,  2.005894547792913E+09, -2.000753414166306E+09, -9.046506599309734E+08,  4.977617623277315E+00,  3.943240378193042E+00,  1.656706710514157E+00,
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000,  2.157706702828831E+09, -1.871490564646636E+09, -8.501842913032808E+08,  4.646953712646178E+00,  4.250703298456235E+00,  1.796023407388581E+00,
2451910.500000000, A.D. 2001-Jan-01 00:00:00.0000,  2.299125455571861E+09, -1.732499734283263E+09, -7.913102241390252E+08,  4.294138344506908E+00,  4.535966788815798E+00,  1.925837661957423E+00,
2452275.500000000, A.D. 2002-Jan-01 00:00:00.0000,  2.428734076643534E+09, -1.585281289041373E+09, -7.286655219369671E+08,  3.922626131656550E+00,  4.796481653176649E+00,  2.045299496581291E+00,
2452640.500000000, A.D. 2003-Jan-01 00:00:00.0000,  2.546347982147902E+09, -1.430236095253863E+09, -6.624231484474629E+08,  3.533504820192242E+00,  5.032207539315328E+00,  2.154086889910322E+00,
2453005.500000000, A.D. 2004-Jan-01 00:00:00.0000,  2.651438712937803E+09, -1.268158820591782E+09, -5.929236933988298E+08,  3.128660961142510E+00,  5.242319636448785E+00,  2.251875230041850E+00,
2453371.500000000, A.D. 2005-Jan-01 00:00:00.0000,  2.743770274681546E+09, -1.099399281981307E+09, -5.203170433987444E+08,  2.708752144005084E+00,  5.426540716903539E+00,  2.338660048711120E+00,
2453736.500000000, A.D. 2006-Jan-01 00:00:00.0000,  2.822426023729575E+09, -9.257216218692164E+08, -4.453629551455581E+08,  2.277810556800553E+00,  5.583355051156364E+00,  2.413315008385206E+00,
2454101.500000000, A.D. 2007-Jan-01 00:00:00.0000,  2.887324157380513E+09, -7.475316757991296E+08, -3.682380167847997E+08,  1.836632603421570E+00,  5.712660423740306E+00,  2.476101420079170E+00,
2454466.500000000, A.D. 2008-Jan-01 00:00:00.0000,  2.938171564585635E+09, -5.657043038938329E+08, -2.893212572629941E+08,  1.386998089947994E+00,  5.814002691778335E+00,  2.526813522723530E+00,
2454832.500000000, A.D. 2009-Jan-01 00:00:00.0000,  2.974814160678739E+09, -3.806190683568799E+08, -2.087767376834106E+08,  9.294944166060501E-01,  5.887208517291235E+00,  2.565203710263344E+00,
2455197.500000000, A.D. 2010-Jan-01 00:00:00.0000,  2.996875363528219E+09, -1.941879460903825E+08, -1.274365239452420E+08,  4.687012855018880E-01,  5.931474956298111E+00,  2.591203937345184E+00,
2455562.500000000, A.D. 2011-Jan-01 00:00:00.0000,  3.004358549032440E+09, -6.813943091984205E+06, -4.547720857368521E+07,  5.180600617770236E-03,  5.946960562599815E+00,  2.604636940687568E+00,
2455927.500000000, A.D. 2012-Jan-01 00:00:00.0000,  2.997209878418833E+09,  1.805933739554243E+08,  3.670356980795153E+07, -4.589793985576220E-01,  5.933562581836655E+00,  2.605316604017263E+00,
2456293.500000000, A.D. 2013-Jan-01 00:00:00.0000,  2.975359717954440E+09,  3.676298942006977E+08,  1.189298142500607E+08, -9.228235466202711E-01,  5.890931786898041E+00,  2.593292811321077E+00,
2456658.500000000, A.D. 2014-Jan-01 00:00:00.0000,  2.938999462489388E+09,  5.523566566022594E+08,  2.003495875751893E+08, -1.382423040822086E+00,  5.819489943981809E+00,  2.568352211055795E+00,
2457023.500000000, A.D. 2015-Jan-01 00:00:00.0000,  2.888221839556622E+09,  7.343734159068332E+08,  2.807863100984060E+08, -1.836849219267468E+00,  5.719187209211138E+00,  2.530623601832723E+00,
2457388.500000000, A.D. 2016-Jan-01 00:00:00.0000,  2.823220718279152E+09,  9.127726985239224E+08,  3.598397925621415E+08, -2.284091120972152E+00,  5.590197756125875E+00,  2.480309568149127E+00,
2457754.500000000, A.D. 2017-Jan-01 00:00:00.0000,  2.744017451075625E+09,  1.087124912382179E+09,  4.373215503032993E+08, -2.723695774691808E+00,  5.432406587674122E+00,  2.417498121605560E+00,
